Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-UE-A6QU-01A-12R-A32Q-07	0.0323044273467716	0	0	0.279566464330694	0	0.163329302647465	0	0.0235973041673986	0.0375313348109295	0	0.0271168201298588	0.0116473451155444	0.016989475616527	0.105420164219863	0.0996090346271445	0.197846338661197	0	0	0.00504198832660613	0	0	0	9999	0.401475159659646	0.91830742011702
TCGA-HB-A2OT-01A-11R-A21T-07	0	0.00475680072784927	0	0	0	0.0167726074030994	0.0671768935912927	0	0	0	0.0193924918940391	0	0	0.685534455026702	0	0.179285624571534	0	0	0	0.0264267560674831	0	0.000654370718000732	9999	0.796908139596128	0.61133796930444
TCGA-DX-A3LW-01A-21R-A21T-07	0.167346173875928	0	0.00884946358171879	0.023021734597455	0	0.126934055075183	0	0.00898557438541769	0.0160419344214657	0	0	0.0527811446399362	0.064235554531919	0	0.00400094125237282	0.394624305887574	0	0.00504756546033256	0.128131552290697	0	0	0	9999	0.0828468939906166	1.04940231612628
TCGA-DX-A8BL-01A-11R-A41I-07	0.144080701223112	0	0.0152790597233045	0.122819570467996	0	0.240766954175382	0	0.00438605668158989	0.0498361203449525	0	0.00750098990561571	0.024718706090309	0.0658019356261136	0.0360903650629893	0.0838164707587467	0.170611733288431	0	0	0.0342913366514582	0	0	0	9999	0.197933429747047	1.00635839312543
TCGA-DX-A1KY-01A-11R-A24X-07	0.262292253291022	0	0	0	0	0.128214027107755	0	0.00989117219647269	0	0	0.000527121030316172	0	0.0346259053734866	0	0	0.489582483391274	0	0.0149962128518267	0.0598708247578464	0	0	0	9999	-0.0531247639158508	1.12689741195197
TCGA-KD-A5QU-01A-11R-A27Q-07	0.055640170756576	0	0	0.164835667537272	0	0.177323807298855	0.00106971953980166	0.0359005453730474	0	0	0	0.0207758387807063	0.0447462615609434	0.0697442261278709	0.0157652294813615	0.2237306818991	0	0	0.177066713874617	0	0.0134011377698492	0	9999	0.106532057350186	1.03785640951383
TCGA-PC-A5DK-01A-11R-A27Q-07	0.149648850307809	0	0.0106194613991285	0.183744736155719	0	0.231594599369125	0	0.0091586221723542	0	0	0	0.0217252901646939	0.0433021655405738	0	0.0390647889304976	0.129249704674843	0	0	0.181891781285257	0	0	0	9999	0.180651125284013	1.01407233373481
TCGA-DX-A48U-01A-11R-A30C-07	0.100947899668092	0	0	0.0372871760766244	0	0.237664590288178	0	0	0	0	0	0.0428834994943339	0.0298103663538343	0	0.0133886542330429	0.339198367151374	0	0.000411950074967567	0.198407496659553	0	0	0	9999	0.0221346124338442	1.07022821504656
TCGA-HB-A5W3-01A-11R-A29R-07	0.0464667287295491	0	0.000417558963637283	0.00758272752642513	0	0.290833190626485	0.0047544037859626	0	0	0	0.00249321861953881	0.0120916820291835	0.0548604347092182	0	0.042607775011186	0.367741117076502	0	0	0.170151162922313	0	0	0	9999	0.104025812663617	1.03945654169156
TCGA-3B-A9HS-01A-11R-A39D-07	0.173428298625905	0	0.00909035093541835	0.219490580095749	0	0.15992831479997	0.0323340959787316	0.00698270863220676	0.0534992414029958	0	0	0.0148737284627177	0.0569676640505452	0.0449064294286175	0.0593170493300385	0.166082246234202	0	0	0.00309929202290354	0	0	0	9999	0.312442376421353	0.958616118268931
TCGA-DX-A8BG-01A-12R-A41I-07	0.0598041827575527	0	0.0136173414402077	0.269548210282748	0	0.0978045065934307	0.00895112176507253	0.0312335048603833	0.0382220195592983	0	0.00464650933440978	0	0.101071135272128	0.0454891185105639	0.153393325274256	0.152424905787057	0	0	0.0237941185628919	0	0	0	9999	0.374932146770033	0.930074015826392
TCGA-DX-A6BE-01A-41R-A32Q-07	0.138085398492199	0	0.0051295863954463	0.14778270277898	0	0.141904873233765	0.0149515601569917	0.0204741429064667	0.0126624215672964	0	0	0	0.0550284792656259	0.0541985777719698	0.0559826962337185	0.34664984024318	0	0	0.00574715483993431	0	0	0.00140256611442739	9999	0.394208481426327	0.918822882611048
TCGA-DX-A3UB-01A-11R-A30C-07	0.107797913115067	0	0.0108389196609848	0.00400700335299731	0	0.177461426521196	0	0.000522304718191876	0.0354973263582391	0	0.0206122285015008	0.0203431432474889	0.0771229635374537	0	0.0120749798571844	0.447586884844564	0	0	0.0861349062851317	0	0	0	9999	0.0244271485138308	1.07439162971948
TCGA-HS-A5NA-01A-11R-A26T-07	0.0533524835195799	0	0	0.0225611731898542	0	0.207600524353565	0.0379435986372234	0.0370773528493662	0.00435597885786583	0	0	0.0239610011939436	0.0992535889022628	0.15243271067703	0.0667395726984932	0.20658291856118	0.00153114632373295	0	0.0686351275579176	0	0.0179728226779851	0	9999	0.0954286743062357	1.04000819967875
TCGA-3B-A9HV-01A-11R-A39D-07	0.156200151710272	0	0.00636677082191716	0	0	0.304005567840372	0.0114482277848437	0.00884617245525199	0	0	0.061540464124278	0	0.0119179029200451	0.0455028558822157	0	0.297045702499785	0	0.014005849859134	0.0831203341018854	0	0	0	9999	-0.0247311823295868	1.08807435278525
TCGA-SI-AA8C-01A-11R-A38C-07	0.0475484958295075	0	0	0.0413440156395023	0	0.290554807329179	0	0.0118880976480194	0.00826613315907801	0	0	0.0146785000338084	0.0483107492140654	0.204920295704764	0.0339049489351306	0.226357501805154	0	0.0191838804964744	0.0530425742053175	0	0	0	9999	0.184541891203263	1.01324539311737
TCGA-DX-A3LT-01A-12R-A21T-07	0.011911079119535	0	0	0.081001258677762	0	0.0951570624844231	0.0348832905397387	0	0.0481486398953671	0	0	0	0	0.133911469630785	0.00277069976493064	0.397547572813037	0	0	0.194668927074421	0	0	0	9999	0.536767132317511	0.848895319746356
TCGA-IF-A3RQ-01A-11R-A22K-07	0.0406001709216726	0	0	0.0161065210250252	0	0.107244978183928	0	0	0.00814340967331162	0	0.0403496791352577	0.0156700023427939	0.111465709191457	0	0.00428988476381556	0.629947759732199	0	0.00114012135377052	0.0250417636767695	0	0	0	9999	0.103837910880687	1.07258958386762
TCGA-X6-A7WD-01A-21R-A355-07	0.0134155747187362	0	0	0	0.01745938573565	0.0783849681593196	0	0	0	0	0.0357078074724003	0	0	0.335149385902505	0	0.382542205764918	0	0.00971852236962464	0.127622149876846	0	0	0	9999	0.312368698105106	0.976843115719052
TCGA-DX-A6Z2-01A-12R-A36F-07	0.0436953380513526	0	0.00356586128700428	0.107369511086972	0	0.328405753435117	0	0	0	0	0.0103624391040304	0.00281929822889408	0.105684980781616	0.0109445093742673	0.0464406555621679	0.219078144412509	0	0.0070074243715929	0.114626084304476	0	0	0	9999	0.255652207385632	0.978747997924438
TCGA-IW-A3M5-01A-22R-A21T-07	0.0402996201617802	0	0.000680745892871481	0.0307455695922818	0	0.0900401100807561	0.00618245703280097	0	4.64001269968477e-05	0	0.00269146145837916	0	0.01936543785	0.493526165951474	0.00408923060672254	0.280262734742294	0	0	0.0320700665036429	0	0	0	9999	0.707426072642275	0.71531430021653
TCGA-X6-A8C2-01A-11R-A36F-07	0.02908396115671	0	0	0.00296382527521376	0	0.0120216194898754	0.0485677471657969	0	0.010150361710591	0	0.0152778465404495	0	0	0.442544920344443	0	0.403978345762546	0	0.0101883328457737	0.025223039708601	0	0	0	9999	0.727293708417205	0.695527790753313
TCGA-FX-A48G-01A-11R-A24X-07	0.0909423057010624	0	0.00383201292313509	0.111027461139127	0	0.115039199910362	0	0.0362484315863658	0.0648798290265557	0	0	0.0754411140480424	0.0367451466179234	0	0.0119941051209617	0.365826350329567	0	0	0.0880240435968973	0	0	0	9999	0.0760424029609752	1.05355051222977
TCGA-DX-A3UC-01A-11R-A30C-07	0.105929190907476	0	0.00554693189315579	0.0130552903303801	0	0.208055390065674	0.0156986677484498	0.00615813549961964	0	0	0	0.0417649033140881	0.141004438385081	0.0092047458051651	0.0324582717497448	0.27295068356559	0	0	0.148173350735575	0	0	0	9999	0.0649169523505118	1.04740404375783
TCGA-DX-A48K-01A-11R-A30C-07	0.174170100909382	0	0	0.0705942436037085	0	0.162069275229328	0	0.0239081394937047	0.0146834007484829	0	0	0.0296237006299549	0.057543524552562	0.016509419384419	0.0251813771580933	0.369299649155803	0	0	0.056417169134562	0	0	0	9999	0.0334211881682782	1.06954143715449
TCGA-Z4-A8JB-01A-23R-A37L-07	0.172882620549813	0	0.0104925421136462	0.0678563056586316	0	0.204283497525282	0	0.00234785685310505	0	0	0	0.0284852349863158	0.0217954385069816	0.0395758911491927	0.0237390766073453	0.231316753309887	0	0	0.1972247827398	0	0	0	9999	0.0459348266713986	1.0601125455152
TCGA-X6-A8C5-01A-11R-A36F-07	0.0830341681739995	0	0.00317209219990666	0.126810869740876	0	0.1803355329199	0	0	3.09682907311783e-05	0	0	0.0358686747425626	0.138825466005911	0	0.0356399445140788	0.281018544150949	0	0.000503061744043324	0.114760677517042	0	0	0	9999	0.217114674171081	0.991671932053428
TCGA-HB-A3YV-01A-11R-A24X-07	0.0983498109245021	0	0	0.146026853745688	0	0.142914812498762	0	0.0470319619366831	0.0131990323654709	0	0.0298965796852076	0.00719946536820555	0.0845863526997325	0	0.0373407783483346	0.393454352427414	0	0	0	0	0	0	9999	-0.0298149398367081	1.1006442919692
TCGA-QQ-A5V2-01A-11R-A32Q-07	0.0636702007776833	0	0.00354666256230869	0.056058685263545	0	0.062657487296298	0	0	0.00667998143295773	0	0	0.0245508143627786	0.0537073950809696	0.328715891280463	0	0.358072669184204	0	0	0.0423402127587913	0	0	0	9999	0.672875585253702	0.754713443718839
TCGA-X9-A971-01A-11R-A38C-07	0.0660825290702921	0	0	0.0196910304254295	0	0.143939915593492	0.0103645231926109	0	0	0	0.0130380517065461	0	0.00518638183579098	0.446651753101861	0.00624152806317163	0.182895256571012	0	0	0.100623873508188	0	0.00528515693160651	0	9999	0.298959961385688	0.981808172696303
TCGA-SG-A6Z4-01A-22R-A33J-07	0.011325484160722	0	0	0.00999494155602062	0	0.0428775005671426	0.0102494075966705	0.0286262974117362	0	0	0.0221921490652334	0.0104687491627592	0	0.272004495511599	0.0230496257141385	0.516038872412983	0	0	0.0531724768409946	0	0	0	9999	0.616370317791674	0.789602883580042
TCGA-DX-A7EU-01A-22R-A36F-07	0.0374104764609055	0	0.00448581608066694	0.0471599211241778	0	0.071836717697563	0	0.00205140338821225	0	0	0	0.00952929982418365	0.0673338936084872	0	0.0463772996173243	0.642433674885107	0	0.0165066016983403	0.0548748956150322	0	0	0	9999	0.249305680938372	1.00183077630301
TCGA-HB-A3L4-01A-11R-A21T-07	0.179616976353744	0	0	0	0	0.0999271623816634	0.0159732454561051	0.00147679812335283	0.0187088113144963	0	0.100572321079555	0	0	0.442716457413335	0	0.0853121080492545	0	0	0.0556961198284931	0	0	0	9999	0.331662260775977	0.959312647659252
TCGA-IE-A4EJ-01A-11R-A24X-07	0.10724819866409	0	0.010496840501454	0.0963059578788602	0	0.170498822402557	0	0.00942197337173412	0.0417032414095056	0	0.0577423446234659	0	0.0369766895612329	0	0.093223844318242	0.352878564746069	0	0	0.0235035225227896	0	0	0	9999	0.183733566055771	1.01099586445436
TCGA-QQ-A5VD-01A-21R-A32Q-07	0.0351822162178606	0	0.000224701135620333	0.0165950016030955	0	0.106914341427479	0	0.00182838707277998	0.0262176037275782	0	0	0.015806285808401	0.0152715367688595	0.507340813223274	0.0318992828071229	0.144961870097543	0	0	0.0977579601103849	0	0	0	9999	0.575523681908955	0.818251029047192
TCGA-DX-A8BJ-01A-11R-A41I-07	0.0205599854190573	0	0	0.0204793559045109	0	0.132445497639718	0.0245286395319489	0.0158534328022947	0.010255197004601	0	0	0.00787793390612751	0	0.376543392638688	0.0283347555051816	0.340577513152843	0	0	0.0225442964950294	0	0	0	9999	0.273946069099853	0.999506147989902
