Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
TCGA-PC-A5DK-01A-11R-A27Q-07,0.155986734136215,0,0.00789928758636214,0.12224609405097,0,0.300552168125672,0,0.00124406411008171,0.00857355793898194,0,0,0.0399425284259226,0.0506233441052485,0.0110384530007024,0.0589664407010804,0.0933322538924579,0,0,0.149595073926306,0,0,0,0,0.58955744378212,0.82149219590445
TCGA-DX-A48U-01A-11R-A30C-07,0.0549013366874891,0,0,0.0419637026291677,0,0.293988474928601,0,0,0.00278868302149823,0,0.00518642590215699,0.0199057533899253,0.0225336362778953,0,0.0286311206551906,0.319088112675903,0,0,0.211012753832173,0,0,0,0,0.252978335827575,0.979829210168138
TCGA-HB-A5W3-01A-11R-A29R-07,0.058553586983605,0,0,0.0251123235219821,0,0.304384192545921,0,0,0,0,0.0146890906387584,0.0136066470528593,0.0436268555782705,0.039715114366942,0.0412010359922584,0.304415406369049,0,0.00239734685109574,0.152298400099258,0,0,0,0,0.501733516788283,0.870532053580381
TCGA-3B-A9HS-01A-11R-A39D-07,0.0848867906756205,0,0,0.217586898627972,0,0.162347692300882,0,0.0315456809092888,0.0450599011033128,0,0,0.0197009736233588,0.0491398334419937,0.0545558394453114,0.0606968731198722,0.26012239990427,0,0.003866411092544,0,0.0104907057555744,0,0,0,0.779491641329764,0.710258820400187
TCGA-DX-A8BG-01A-12R-A41I-07,0.0949002617123406,0,0.0161489701492241,0.220459725675014,0,0.116817755189171,0.0251380475247469,0.02818659329538,0.0431046801815489,0,0.0184647591327204,0,0.0943129027676841,0.0544238766675719,0.123319664964277,0.152794811875436,0,0,0.0119279508648851,0,0,0,0,0.596363371925903,0.817201162448241
TCGA-DX-A6BE-01A-41R-A32Q-07,0.078160433756089,0,0,0.127160655223943,0,0.195615415712846,0.0101077466811125,0,0.00498500028261579,0,0.0328548407543863,0,0.0535803471368522,0.0452772495018586,0.0642897708482397,0.346774164725424,0,0,0.0411943753766327,0,0,0,0,0.740527579113861,0.745299784128439
TCGA-DX-A3UB-01A-11R-A30C-07,0.0617274233821968,0,0.00612860071546842,0.0339018112260622,0,0.251501387190143,0,0,0.0356133141638146,0,0.0294904957606542,0.0267964754773577,0.0689845561664335,0,0.0194787372055613,0.363903020484307,0,0,0.102474178228001,0,0,0,0,0.307527057250667,0.955965448158423
TCGA-HS-A5NA-01A-11R-A26T-07,0.0422482080701338,0,0,0.0542759429240181,0,0.257812162757353,0.0148094186217891,0.027159944992053,0.00499347632073902,0,0.00515523372569106,0.0160971201091322,0.0974513883940769,0.167055175100811,0.0567904549563759,0.189377683650525,0.00120684351420195,0,0.0488018977515077,0,0.0167650491115926,0,0,0.481413001169339,0.878644959788571
TCGA-3B-A9HV-01A-11R-A39D-07,0.160060889561276,0,0.0176234535695472,0.0169732955760493,0,0.238896503996024,0,0.0214123428347291,0.0124782533929444,0,0.0321557361653979,0.00649968236211614,0.0273983935420603,0.109927380407695,0.000522645025284271,0.228991635535034,0,0.0249822114042089,0.102077576627633,0,0,0,0.05,0.164938743647253,1.01302172249569
TCGA-SI-AA8C-01A-11R-A38C-07,0.0850885041903751,0,0,0.0557533768750182,0,0.292533391801384,0,0.00802737150755576,0.0108699179972289,0,0.0145963646207013,0,0.0416494105604581,0.191604560298494,0.0372177221529297,0.214691681619787,0,0.00732787761366951,0.0406398207623989,0,0,0,0,0.539411173272867,0.84880431932782
TCGA-DX-A3LT-01A-12R-A21T-07,0.0596149423543325,0,0.00297947285279005,0.0627023096992258,0,0.18039517844095,0.0237815675228818,0,0.024654459393953,0,0,0,0.00526047369874514,0.108882638079543,0.0145023777258784,0.294649011049362,0,0,0.220329763726254,0,0,0.00224780545608438,0,0.512775114298887,0.864458201551029
TCGA-IF-A3RQ-01A-11R-A22K-07,0.0229785592451587,0,0,0,0,0.143820031513538,0,0,0.00280470977218268,0.0104466747744578,0.0419914704476174,0.0107271838060154,0.0860143568444747,0,0.0330241045687586,0.627680133165724,0,0,0.0205127758620725,0,0,0,0,0.472736397140893,0.881279268409288
TCGA-X6-A7WD-01A-21R-A355-07,0.00310746713820635,0.0106321521413535,4.36364912039025e-05,0.0200699097671779,0,0.182291741701178,0,0,0,0,0.0288434915264385,0.00642966735591814,0.00519287821577982,0.176307696877277,0.00934275445762345,0.382994074592648,0,0.0118655867530652,0.158027471058492,0.00485147192363801,0,0,0,0.607115203390399,0.809457252365424
TCGA-DX-A6Z2-01A-12R-A36F-07,0.0409618970038681,0,0.00411151766026509,0.108015332425555,0,0.350388602116915,0,0,0,0,0.000737274957963524,0.0210699287803894,0.111491633821272,0.0104458838069397,0.0474633455442435,0.184474649656041,0.000747537144824557,0.0171496476039159,0.102942749477807,0,0,0,0,0.71167525056211,0.760260784031947
TCGA-IW-A3M5-01A-22R-A21T-07,0.0633394601058297,0,0,0.0363796630734288,0,0.156976401141295,0,0.00737992824261213,0.0269640562046206,0,0,0.0288802228487424,0.0197078789344356,0.327328079558497,0.00494717943595964,0.28572446047613,0,0,0.0423726699784495,0,0,0,0,0.682252605573548,0.755285474103505
TCGA-X6-A8C2-01A-11R-A36F-07,0.0578363974675857,0,0,0.00024330076077953,0,0.161599283385369,0.00464279858338465,0.00179918930084109,0.00705811844861449,0,0.0104898901255367,0.00507579942802239,0.00495912590686147,0.369617217187659,0.0125642035693789,0.32150633472291,0,0.00589978439076967,0.0338396288977476,0,0,0.00286892782453953,0,0.726203751216453,0.714874385436091
TCGA-FX-A48G-01A-11R-A24X-07,0.0696491856606948,0,0,0.156881794207945,0,0.114253723756555,0,0.0217145156202479,0.0736692443411237,0,0,0.0912930509691171,0.0493674401095971,0,0.0175953537748025,0.307577766241378,0,0,0.0979979253185393,0,0,0,0,0.402462457013484,0.914912822518133
TCGA-DX-A3UC-01A-11R-A30C-07,0.130753660574051,0,0.00439346256643253,0.0452306063219793,0,0.259931005715071,0,0.0197597842862296,0.0230740124094018,0,0.0183122362796796,0.0212133257400816,0.097120774449854,0.0122500488804295,0.0308512602279549,0.240533290040345,0.00276559870877785,0,0.0938109337997128,0,0,0,0,0.498308195214924,0.87243849341736
TCGA-DX-A48K-01A-11R-A30C-07,0.0674735818711811,0,0,0.0196964919045843,0,0.136567297560457,0,0.0257871051372743,0.00554565348945557,0,0.0150285526506603,0.0175467358194395,0.0371222923372063,0.0802383890838111,0.0286340507492848,0.473366259316195,0,0.000400364613163918,0.0925932254672871,0,0,0,0,0.526564683894713,0.853964938294855
TCGA-Z4-A8JB-01A-23R-A37L-07,0.154308588350231,0,0.00694858505795347,0.0420015443810726,0,0.238244069954223,0.00629825744894507,0,0,0,0.0206411486533842,0,0.021947539366548,0.0940455180254982,0.0387378833054644,0.184130596851466,0,0,0.192696268605215,0,0,0,0,0.486965679780768,0.877693633038978
TCGA-X6-A8C5-01A-11R-A36F-07,0.0867252524948921,0,0.00698583134341288,0.0797866486605151,0,0.256467807957674,0,0,0,0,0.0200210036680397,0.0324054973326055,0.160715715076872,0,0.0296346674962922,0.234771933905481,0.00206871984808999,0,0.0904169222161257,0,0,0,0,0.64311331703056,0.803712237570449
TCGA-HB-A3YV-01A-11R-A24X-07,0.119416366604361,0,0,0.113461416491231,0,0.171642681723253,0,0.046026577377486,0.0508787521316349,0,0.0600038035658228,0.000426013072941548,0.0645180329953708,0.0659778947657712,0.0346387483570424,0.250465116529667,0,0.00960587041884378,0,0.0129387259665739,0,0,0,0.275079890006995,0.971563147264849
TCGA-QQ-A5V2-01A-11R-A32Q-07,0.0557391012683459,0,0,0.0512344061024199,0,0.112055363671672,0,0.0144654894825882,0.00843468487868611,0,0.014865241557341,0.0162330722505037,0.0741148839879418,0.265691044520061,0.000300786771270626,0.355655867865123,0,0,0.0312100576440465,0,0,0,0,0.634639295825936,0.786618803985835
TCGA-X9-A971-01A-11R-A38C-07,0.0230534619566659,0,0.000456147946440324,0,0.0600523100471673,0.148211721554228,0,0,0,0,0.0305853037139381,0.00615116810028824,0.00228217704848716,0.367757440314917,0.023902582439901,0.207820746698807,0,0,0.103460667738166,0,0.0262662724409942,0,0,0.635834613309082,0.785697402312688
TCGA-SG-A6Z4-01A-22R-A33J-07,0.0214481332666533,0,0,0,0,0.142378032577042,0.0134198321395421,0.00244004495624165,0.0128273295858593,0,0.0484241710732074,0,0,0.23385119696597,0.0328672546551328,0.437354083039418,0,0,0.0549899217409331,0,0,0,0,0.665206577621591,0.765448490617468
TCGA-DX-A7EU-01A-22R-A36F-07,0.0372542709755333,0,0.00504662845628543,0.0664416902309894,0,0.135208849499297,0,0.0050764468938162,0.0170308765501283,0,0,0.0144533274790868,0.0668877993909565,0,0.0668192047712482,0.533817823361768,0,0,0.0519630823908908,0,0,0,0,0.617563439509986,0.802296866432785
TCGA-HB-A3L4-01A-11R-A21T-07,0.0499686816109458,0,0,0.0116757203599084,0,0.132166060071313,0,0.0329957478831938,0.00309704275601195,0,0.0440927266196228,0.00558225694180318,0.0118473795206311,0.251147424150076,0.0103037397361721,0.427660646398611,0,0,0.0194625739517103,0,0,0,0,0.659283234167049,0.767825140899485
